测试1体育,#genre#
咪咕体育2,http://111.13.111.242/000000001000/3000000001000005969/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕体育6,http://111.13.111.242/000000001000/3000000001000008379/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕体育7,http://111.13.111.242/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=$订阅源|1920x1080
咪咕体育7,http://111.13.111.242/000000001000/3000000001000010129/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=$订阅源|1920x1080
咪咕体育19,http://111.13.111.242/000000001000/3000000010000005837/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=$订阅源|1920x1080
咪咕体育19,http://111.13.111.242/000000001000/3000000010000005837/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕体育25,http://111.13.111.242/000000001000/3000000010000010833/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
咪咕体育25,http://111.13.111.242/000000001000/3000000010000010833/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=$订阅源|1920x1080
足球体育28,http://111.13.111.242/000000001000/3000000010000011518/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
篮球体育33,http://111.13.111.242/000000001000/3000000010000012558/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=
港澳宽频vip,#genre#
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
靖天電影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
鳳凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
鳳凰資訊,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
鳳凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
黃金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
龍華日韓台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
龍華經典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龍華電影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8
三立綜合台,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
千禧經典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8

测试央视,#genre#
CCTV1,http://180.119.183.89:8800/rtp/239.49.1.1:6000$1
CCTV1,http://117.87.147.134:3000/rtp/239.49.1.1:6000$2
CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008$3
CCTV1,http://117.86.49.165:7777/rtp/239.49.8.129:6000$4
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.129:6000$5
CCTV1,http://175.150.159.235:9009/rtp/232.0.0.27:1234
CCTV1,http://123.113.187.204:8000/rtp/239.3.1.129:8008
CCTV1,http://61.55.46.35:4022/rtp/239.253.92.83:8012
CCTV1,http://222.95.92.12:4000/rtp/239.49.8.129:6000$1920x1080
CCTV1,http://221.196.151.5:8888/udp/225.1.1.120:5002
CCTV1,http://211.158.201.168:8004/udp/225.0.4.74:7980
CCTV1,http://113.102.162.171:4022/udp/239.77.0.129:5146
CCTV1,http://221.219.96.192:8012/rtp/239.3.1.129:8008?$北京联通
CCTV1,http://1.203.77.72:7788/udp/225.1.8.101:8080
CCTV1,http://113.111.21.184:8889/udp/239.77.0.86:5146
CCTV1,http://www.erbao1981.top:8188/udp/239.76.253.151:9000
CCTV1,http://118.79.7.193:6001/rtp/226.0.2.153:9136
CCTV1,http://123.113.14.115:8012/rtp/239.3.1.129:8008
CCTV1,http://123.113.237.160:8888/rtp/239.3.1.129:8008$1920x1080
CCTV1,http://219.156.48.111:9999/rtp/225.1.4.73:1102
CCTV1,http://www.lnlee.top:10000/udp/239.81.0.102:4056
CCTV1,http://xuys.top:8888/udp/225.1.1.120:5002
CCTV1,http://39.98.201.151:9090/udp/225.1.8.101:8080$订阅源
CCTV1,http://114.228.152.34:8888/rtp/239.49.8.129:6000
CCTV1,http://171.119.205.154:6001/rtp/226.0.2.153:9136
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1,http://ha.xushining.com:50000/udp/225.1.1.120:5002
CCTV1,http://121.227.243.195:7766/rtp/239.49.8.129:6000
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.1:8008
CCTV1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$组播源
CCTV1,http://39.98.201.151:9090/udp/225.1.8.101:8080
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV1,http://1.203.77.72:7788/udp/225.1.8.1:8008
CCTV1,http://111.192.0.32:4022/rtp/239.3.1.129:8008
CCTV1,http://171.116.226.246:8082/rtp/226.0.2.16:8040
CCTV1,http://123.56.129.203:5431/rtp/225.1.8.101:8080
CCTV1,http://113.90.245.163:4000/udp/239.77.0.129:5146
CCTV1,http://110.177.146.152:888/rtp/239.1.1.7:8007$组播源
CCTV1,http://106.112.254.54:8989/rtp/239.254.200.45:8008
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1,http://60.26.61.130:8000/udp/225.1.1.120:5002
CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1,http://183.66.51.205:4022/rtp/235.254.198.51:1480$1920x1080
CCTV1,http://113.251.226.86:8003/rtp/235.254.198.1:1280
CCTV1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231
CCTV1,http://171.213.198.30:8096/udp/239.93.0.184:5140
